detector,native_attack,cross_attack,native_f1,cross_f1,f1_gap
FGSM,FGSM,PGD,0.9906868451688009,0.8432288192128086,0.14745802595599233
PGD,PGD,FGSM,0.965331059960216,0.9638588503130335,0.0014722096471824209
