category,n_features,fgsm_mean_d,fgsm_max_d,fgsm_n_significant,pgd_mean_d,pgd_max_d,pgd_n_significant
Texture Features,3,1.5409177257987228,1.9571025337553571,3,0.5160872561895288,0.7732998451269488,3
Frequency Features,9,0.9389691230591455,1.9612391091299881,8,0.4263482815320606,1.150312893547055,7
Gradient Features,12,0.784486226046759,1.40228909986846,11,0.21428236437914627,0.509810794767039,10
Channel Statistics,18,0.13424315465114617,0.49545542590287495,13,0.0561373967653033,0.22727655766636395,6
Pixel Statistics,11,0.11899501637491391,0.4727178538700987,7,0.05453693666111789,0.20094380221686245,4
Color Features,12,0.05032181533558889,0.3214046600045549,10,0.021813484928154128,0.0695815555877015,2
